Name,SubAccount,FullyQualifiedName,Active,Classification,AccountType,AccountSubType,CurrentBalance,CurrentBalanceWithSubAccounts,domain,sparse,Id,SyncToken,CurrencyRef_value,CurrencyRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime,ParentRef_value
"Research officer, trade union",False,"Research officer, trade union",True,Expense,Expense,Expense,209,209,QBO,False,1,0,USD,United States Dollar,2022-06-24 05:48:26,2022-06-24 05:48:26,
Politician's assistant,False,Politician's assistant,True,Expense,Expense,Politician's assistant,676,676,QBO,False,2,4,USD,United States Dollar,2022-11-24 08:01:38,2022-11-24 08:01:38,
"Research officer, government",False,"Research officer, government",True,Revenue,Income,"Research officer, government",843,843,QBO,False,3,3,USD,United States Dollar,2021-07-13 14:09:02,2021-07-13 14:09:02,
"Therapist, drama",False,"Therapist, drama",True,Expense,Expense,Income,-264,-264,QBO,False,4,5,USD,United States Dollar,2021-12-18 11:35:15,2021-12-18 11:35:15,
Gaffer,False,Gaffer,True,Expense,Expense,Expense,-188,-188,QBO,False,5,0,USD,United States Dollar,2022-01-14 08:09:41,2022-01-14 08:09:41,
Curator,False,Curator,True,Expense,Expense,Expense,-356,-356,QBO,False,6,5,USD,United States Dollar,2021-09-20 03:21:07,2021-09-20 03:21:07,
Housing manager/officer,False,Housing manager/officer,True,Revenue,Income,Expense,-517,-517,QBO,False,7,5,USD,United States Dollar,2022-01-14 10:59:22,2022-01-14 10:59:22,
Transport planner,False,Transport planner,True,Expense,Expense,Transport planner,-576,-576,QBO,False,8,3,USD,United States Dollar,2021-04-02 22:41:08,2021-04-02 22:41:08,
Environmental education officer,False,Environmental education officer,True,Expense,Expense,Fixed Asset,-930,-930,QBO,False,9,3,USD,United States Dollar,2022-08-31 06:06:09,2022-08-31 06:06:09,
Therapeutic radiographer,True,Environmental education officerTherapeutic radiographer,True,Expense,Expense,Income,-29,-29,QBO,False,10,0,USD,United States Dollar,2023-06-07 04:20:40,2023-06-07 04:20:40,9.0
Retail merchandiser,False,Retail merchandiser,True,Revenue,Income,Retail merchandiser,239,239,QBO,False,11,1,USD,United States Dollar,2021-05-06 20:27:57,2021-05-06 20:27:57,
Statistician,False,Statistician,True,Expense,Expense,Statistician,348,348,QBO,False,12,4,USD,United States Dollar,2021-09-23 12:11:31,2021-09-23 12:11:31,
"Engineer, land",False,"Engineer, land",True,Expense,Expense,Income,982,982,QBO,False,13,1,USD,United States Dollar,2022-05-19 14:32:14,2022-05-19 14:32:14,
"Conservator, museum/gallery",False,"Conservator, museum/gallery",True,Expense,Expense,"Conservator, museum/gallery",-288,-288,QBO,False,14,2,USD,United States Dollar,2022-02-13 22:33:14,2022-02-13 22:33:14,
Armed forces operational officer,False,Armed forces operational officer,True,Expense,Expense,Armed forces operational officer,221,221,QBO,False,15,0,USD,United States Dollar,2023-07-27 18:53:49,2023-07-27 18:53:49,
"Teacher, music",False,"Teacher, music",True,Expense,Expense,Expense,-191,-191,QBO,False,16,3,USD,United States Dollar,2023-11-18 09:32:40,2023-11-18 09:32:40,
Ambulance person,False,Ambulance person,True,Expense,Expense,Ambulance person,-589,-589,QBO,False,17,0,USD,United States Dollar,2022-01-26 20:49:34,2022-01-26 20:49:34,
Armed forces logistics/support/administrative officer,True,Ambulance personArmed forces logistics/support/administrative officer,True,Expense,Expense,Bank,962,962,QBO,False,18,0,USD,United States Dollar,2023-10-27 11:47:41,2023-10-27 11:47:41,17.0
Sports coach,False,Sports coach,True,Liability,Long Term Liability,Sports coach,-140,-140,QBO,False,19,0,USD,United States Dollar,2023-08-22 06:42:48,2023-08-22 06:42:48,
Archaeologist,False,Archaeologist,True,Expense,Expense,Income,120,120,QBO,False,20,0,USD,United States Dollar,2020-12-28 10:17:38,2020-12-28 10:17:38,
Television production assistant,False,Television production assistant,True,Asset,Other Current Asset,Expense,-258,-258,QBO,False,21,3,USD,United States Dollar,2022-11-11 17:42:23,2022-11-11 17:42:23,
Ship broker,False,Ship broker,True,Expense,Expense,Expense,807,807,QBO,False,22,1,USD,United States Dollar,2023-02-01 06:34:07,2023-02-01 06:34:07,
Secondary school teacher,False,Secondary school teacher,True,Expense,Expense,Expense,-850,-850,QBO,False,23,2,USD,United States Dollar,2023-02-06 21:33:16,2023-02-06 21:33:16,
Adult nurse,False,Adult nurse,True,Revenue,Income,Expense,-106,-106,QBO,False,24,1,USD,United States Dollar,2023-08-15 02:14:29,2023-08-15 02:14:29,
