domain,sparse,Id,SyncToken,CustomField,DocNumber,TxnDate,TotalAmt,ApplyTaxAfterDiscount,PrintStatus,Balance,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,TxnTaxDetail_TotalTax,CustomerRef_value,CustomerRef_name,CustomerMemo_value,BillAddr_Id,BillAddr_Line1,BillAddr_Line2,BillAddr_Line3,BillAddr_Line4,BillAddr_Lat,BillAddr_Long,BillEmail_Address,PaymentMethodRef_value,PaymentMethodRef_name,DepositToAccountRef_value,DepositToAccountRef_name
QBO,False,1,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3518,2022-01-03,0.7,False,Not Set,0,2022-01-03 17:28:20,2022-01-03 17:28:20,AUD,Australian Dollar,0,34,Chadha's Consultants,Thank you for your business and have a great day!,,,,,,,,,2,Cheque,60,Installation
QBO,False,2,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7619,2023-01-06,666.0,False,Not Set,0,2023-01-06 21:17:10,2023-01-06 21:17:10,USD,United States Dollar,0,2,Bill's Windsurf Shop,Thank you for your business and have a great day!,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,Cheque,66,Plants and Soil
QBO,False,3,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6010,2023-11-29,348.81,False,,0,2023-11-29 02:11:11,2023-11-29 02:11:11,USD,United States Dollar,0,8,Freeman Sporting Goods:0969 Ocean View Road,Thank you for your business and have a great day!,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,Cheque,63,Job Materials
QBO,False,4,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6971,2023-04-06,934.87,False,,0,2023-04-06 01:57:21,2023-04-06 01:57:21,AUD,Australian Dollar,0,42,Himateja Madala,Thank you for your business and have a great day!,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,Cheque,55,Automobile
QBO,False,5,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8919,2023-06-05,695.1,False,,0,2023-06-05 19:13:39,2023-06-05 19:13:39,AUD,Australian Dollar,0,34,Chadha's Consultants,Thank you for your business and have a great day!,,,,,,,,,1,Cash,38,Original Cost
QBO,False,6,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9057,2021-04-27,825.41,False,Not Set,0,2021-04-27 09:01:09,2021-04-27 09:01:09,AUD,Australian Dollar,0,56,Rob deMontarnal,Thank you for your business and have a great day!,,,,,,,,,1,Cash,16,Promotional
QBO,False,7,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7632,2023-05-10,977.0,False,,0,2023-05-10 08:53:41,2023-05-10 08:53:41,AUD,Australian Dollar,0,55,Oxon Insurance Agency:Oxon -- Holiday Party,Thank you for your business and have a great day!,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,2,Cheque,84,Accounts Receivable (A/R)
QBO,False,8,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3398,2021-07-08,517.7,False,Not Set,0,2021-07-08 00:16:47,2021-07-08 00:16:47,AUD,Australian Dollar,0,52,Nadia Phillipchuk,Thank you for your business and have a great day!,,,,,,,,,1,Cash,13,Meals and Entertainment
QBO,False,9,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",5177,2022-05-25,918.99,False,,0,2022-05-25 00:59:27,2022-05-25 00:59:27,AUD,Australian Dollar,0,36,Cheng-Cheng Lok,Thank you for your business and have a great day!,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,Cheque,58,Job Expenses
QBO,False,10,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6171,2022-03-31,423.91,False,Not Set,0,2022-03-31 07:36:56,2022-03-31 07:36:56,AUD,Australian Dollar,0,36,Cheng-Cheng Lok,Thank you for your business and have a great day!,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,Cheque,7,Advertising
QBO,False,11,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3863,2023-02-06,912.78,False,Not Set,0,2023-02-06 03:14:01,2023-02-06 03:14:01,AUD,Australian Dollar,0,33,Cathy Quon,Thank you for your business and have a great day!,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,Cash,67,Sprinklers and Drip Systems
QBO,False,12,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8642,2020-12-11,181.93,False,Not Set,0,2020-12-11 17:40:23,2020-12-11 17:40:23,USD,United States Dollar,0,3,Cool Cars,Thank you for your business and have a great day!,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,Cheque,26,Other Portfolio Income
QBO,False,13,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3360,2023-10-06,961.87,False,Not Set,0,2023-10-06 05:50:02,2023-10-06 05:50:02,USD,United States Dollar,0,29,Weiskopf Consulting,Thank you for your business and have a great day!,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1,Cash,89,Arizona Dept. of Revenue Payable
QBO,False,14,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3628,2022-10-01,320.2,False,Not Set,0,2022-10-01 10:23:24,2022-10-01 10:23:24,AUD,Australian Dollar,0,54,Oxon Insurance Agency:Oxon - Retreat,Thank you for your business and have a great day!,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2,Cheque,56,Fuel
QBO,False,15,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9366,2021-01-19,103.39,False,,0,2021-01-19 13:55:33,2021-01-19 13:55:33,USD,United States Dollar,0,6,Dylan Sollfrank,Thank you for your business and have a great day!,,,,,,,,,1,Cash,4,Undeposited Funds
QBO,False,16,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4907,2021-12-17,906.67,False,Not Set,0,2021-12-17 23:18:34,2021-12-17 23:18:34,AUD,Australian Dollar,0,44,Jen Zaccarella,Thank you for your business and have a great day!,,,,,,,,,2,Cheque,23,Travel Meals
QBO,False,17,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8678,2023-06-26,597.33,False,Not Set,0,2023-06-26 13:25:01,2023-06-26 13:25:01,AUD,Australian Dollar,0,51,Moturu Tapasvi,Thank you for your business and have a great day!,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1,Cash,77,Telephone
QBO,False,18,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6874,2022-02-26,726.67,False,Not Set,0,2022-02-26 02:46:24,2022-02-26 02:46:24,AUD,Australian Dollar,0,40,Gorman Ho,Thank you for your business and have a great day!,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1,Cash,52,Installation
QBO,False,19,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7606,2021-04-21,784.51,False,Not Set,0,2021-04-21 00:41:46,2021-04-21 00:41:46,USD,United States Dollar,0,15,Pye's Cakes,Thank you for your business and have a great day!,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,Cash,26,Other Portfolio Income
QBO,False,20,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9175,2021-06-21,838.32,False,,0,2021-06-21 00:53:38,2021-06-21 00:53:38,AUD,Australian Dollar,0,47,Kari Steblay,Thank you for your business and have a great day!,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1,Cash,47,Decks and Patios
QBO,False,21,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7237,2023-07-21,210.4,False,,0,2023-07-21 22:01:50,2023-07-21 22:01:50,USD,United States Dollar,0,13,John Melton,Thank you for your business and have a great day!,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2,Cheque,28,Disposal Fees
QBO,False,22,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1223,2023-01-14,36.25,False,Not Set,0,2023-01-14 14:31:05,2023-01-14 14:31:05,USD,United States Dollar,0,13,John Melton,Thank you for your business and have a great day!,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1,Cash,32,Uncategorized Asset
QBO,False,23,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7562,2023-03-31,12.35,False,Not Set,0,2023-03-31 01:36:33,2023-03-31 01:36:33,USD,United States Dollar,0,21,Rondonuwu Fruit and Vegi,Thank you for your business and have a great day!,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2,Cheque,51,Labor
QBO,False,24,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",5712,2021-07-28,241.1,False,Not Set,0,2021-07-28 06:39:11,2021-07-28 06:39:11,AUD,Australian Dollar,0,42,Himateja Madala,Thank you for your business and have a great day!,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1,Cash,50,Sprinklers and Drip Systems
